WKT,이름,설명
"POINT (126.8962189 35.1441294)",점 1,
"POINT (126.8972167 35.144147)",점 2,
"POINT (126.8979543 35.1443575)",점 3,
"POINT (126.8986199 35.1450429)",점 4,
"POINT (126.8989758 35.1441555)",점 5,
"POINT (126.8995574 35.1428775)",점 6,
"POINT (126.9000743 35.1417379)",점 7,
"POINT (126.9008398 35.1400758)",점 8,
"POINT (126.901507 35.1387346)",점 9,
"POINT (126.9016733 35.1387806)",점 10,
"POINT (126.9021346 35.1403536)",점 11,
"POINT (126.902802 35.1424418)",점 12,
"POINT (126.9028879 35.1424418)",점 13,
"POINT (126.9023476 35.1407054)",점 14,
"POINT (126.9017588 35.1387911)",점 15,
"POINT (126.9016243 35.1383923)",점 16,
"POINT (126.9016256 35.1370169)",점 17,
"POINT (126.9010263 35.1365608)",점 18,
"POINT (126.9009574 35.1370862)",점 19,
"POINT (126.9006463 35.137163)",점 20,
"POINT (126.8996844 35.1370114)",점 21,
"POINT (126.8993732 35.1367211)",점 22,
"POINT (126.8991032 35.1367166)",점 23,
"POINT (126.898776 35.1369155)",점 24,
"POINT (126.8982578 35.1366775)",점 25,
"POINT (126.8971047 35.138029)",점 26,
"POINT (126.8975001 35.1382601)",점 27,
"POINT (126.8969308 35.1389914)",점 28,
"POINT (126.8973477 35.1392197)",점 29,
"POINT (126.8967364 35.1400437)",점 30,
"POINT (126.8967682 35.1403764)",점 31,
"POINT (126.8966332 35.1410849)",점 32,
"POINT (126.896816 35.1420677)",점 33,
"POINT (126.896698 35.1422508)",점 34,
"POINT (126.8964669 35.1422766)",점 35,
"POINT (126.8961966 35.1431723)",점 36,
"POINT (126.8960889 35.1432889)",점 37,
"POINT (126.8963752 35.143662)",점 38,
"POINT (126.8962189 35.1441294)",점 39,
